Apple,Amazon,Microsoft,Google,Facebook,Boeing,UNH,Goldman,MMM,Home Depot
0.00426592,-0.003238713,-0.003134629,0.005009313,-0.00450417,-0.000982086,-0.002382862,0.007450175,-0.019195452,-0.002334656
0.00044253,0.012385592,0.006988035,5.15E-05,0.00218425,0.018223108,-0.004053264,0.025451377,0.004135567,-0.004836234
0.00743038,-0.003197702,0.001734944,0.000502291,0.002101689,-0.001782498,-0.008212245,0.00450711,-0.004350764,0.020457847
0.001492567,-0.002649502,0.00103902,-0.002291234,0.001941898,-0.004240231,0.001392415,0.01603352,-0.001806042,-0.014440469
0.017446968,0.002716163,0.004152321,0.014011437,0.009690673,0.014867248,0.010390645,0.007124934,-0.001108955,-0.008261295
0.00215434,-0.012724123,-0.014645139,-0.003651672,-0.01044226,-0.015459154,-0.024116547,-0.011693282,-0.008531067,-0.011001891
0.008942411,0.003718444,-0.001398786,0.003920477,0.001319041,-0.004337016,0.002597503,0.001538145,0.000235754,0.006674627
-0.003068035,-0.005766761,-0.003326876,-0.010112719,-0.009531212,0.001652425,-0.006735851,-0.011104528,0.001767852,-0.003157307
0.005556347,-0.007621077,0.008784157,0.000436946,0.000469387,0.000899474,-0.002012086,0.018516346,0.001823152,0.001029315
-0.00067995,-0.012163422,-0.003483128,0.001836786,-0.002658711,0.003745261,0.00156823,-0.008913964,-0.000704552,-0.010124958
-0.000680553,0.005781428,0.007689768,0.019616375,0.008075945,0.008209218,0.069037353,0.021479323,-0.001527467,0.004794625
-0.002979531,4.89E-05,-0.002254753,0.007846478,0.011977864,0.007993669,0.006834528,0.01089033,-0.000235282,0.001192856
-0.000512326,-0.00901319,-0.004866915,-0.005651939,-0.000845446,-0.002496529,0.00484884,0,-0.000294359,0.002859739
-0.003929659,0.010699456,0.042096056,0.003011436,0.015923131,-0.001545877,0.00206777,0.000916661,-0.002119413,0.002772263
0.009005289,0.023321454,0.022460574,0.017188524,0.009161747,0.013418923,-0.00467783,0.002576464,0.010442539,0.009320762
0.005099804,-0.003472221,-0.000163853,-0.006690364,-0.007428016,0.011422432,-0.006289183,0.00245539,-0.029427384,-0.034747326
-0.022494798,-0.015074554,-0.0059027,-0.010647884,-0.009448938,0.046899442,-0.010780306,0.008658561,0.001684501,-0.005107797
-0.009602807,-0.005142345,-0.008741548,-0.004655451,-0.01030213,-0.015322169,-0.002038823,0.003840277,-0.004504304,-0.003667194
-0.006638771,-0.051371009,-0.003826952,2.52E-05,0.012337042,-0.002093403,-0.011202015,-0.003431772,6.04E-05,0.010796658
-0.001582849,0.017389736,0.00083523,-0.013616326,-0.002284927,-0.004055668,0.006982454,0.006209893,-0.002835236,-0.012704268
-0.018055209,-0.005583594,-0.002002644,-0.001185399,-0.011374952,-0.000140261,-0.013443756,-0.001010105,-0.006352209,-0.017375675
0.000896965,-0.025273393,-0.006187372,-0.019027288,-0.017992293,-0.011656548,-0.003227339,-0.00831173,0.009010744,0.003336446
-0.010718758,0.001920204,-0.003701827,-0.008546906,-0.056381207,-0.005186468,-0.008274457,-0.002095285,0.006637322,-0.000914473
-0.009013967,-0.015618738,-0.008444492,-0.000144313,0.00625,-0.003428068,-0.000870531,-0.001645776,-0.002097889,0.006074281
0.014424843,0.039573545,0.029126136,0.02690218,0.011594219,0.025010571,0.030643871,0.031605237,0.019581868,0.023488475
0.005886991,0.003592686,0.000827559,0.010210589,0.016946369,0.001831975,0.00683434,0.002424516,0.007599961,0.004040432
-0.001620643,-0.020145979,-0.004961142,-0.006578047,-0.008372251,0.028204792,-0.006997774,0.058872083,-0.003742236,0.014245353
-0.027867888,-0.038218376,-0.024430705,-0.028969452,-0.019321294,0.017920056,0.029809751,0.042776279,0.022830048,0.023885064
0.005937445,-0.004539447,0.005451495,-0.01119909,-0.014735149,0.005619868,0.001984305,0.015283508,0.00459038,0.006355145
-0.025085356,-0.026982047,-0.015249221,-0.023792476,-0.033103639,0.009897608,0.040021915,0.025693817,-0.012394429,-0.016788538
0.013243829,0.033612837,0.019747194,0.030445023,0.018421924,-0.01253418,-0.000328208,0.009608957,0.007691974,-0.025612874
0.026888151,0.004372746,0.013249577,0.007897256,-0.007337893,-0.011275346,-0.004795447,-0.023343981,-0.006469183,0.007475876
-0.000363656,0.013275508,0.016596812,0.008829531,0.012463513,-0.007579944,-0.004818459,0.016338665,0.004418387,0.028724004
